name,price,old_price,discount,rating,brand,category
Fashion Mens T-shirt Turtle Neck Sweatshirt Casual Long Sleeve Shirts-Blue,680.0,913.0,26%,No rating,Fashion,Fashion/Men's Fashion/Clothing/Shirts
cloudoon Men's Summer Breathable Boxer Briefs - Refreshing And Moisture-Wicking,499.0,998.0,50%,No rating,cloudoon,Fashion/Men's Fashion/Clothing/Underwear/Boxers
Fashion Men's Fashion Sports Running Shoes - Black,590.0,1000.0,41%,No rating,Fashion,Fashion/Men's Fashion/Shoes/Fashion Sneakers
Fashion Mens Zipper Turtleneck Long Sleeve Varsity Jackets Lightweight Sport Coats - Black,937.0,1536.0,39%,No rating,Fashion,Fashion/Men's Fashion/Clothing/Jackets & Coats/Lightweight Jackets
Fashion Men's Hawaiian Ink Print  Bottom-down Beach Short Sleeve T-Shirt Casual Tops,960.0,13781500.0,36%,No rating,Fashion,Fashion/Men's Fashion/Clothing/Shirts/Casual Button-Down Shirts
Fashion Mens Colorful Stitching Turtle Neck Polos Shirts Short Sleeve T-shirt,765.0,965.0,21%,No rating,Fashion,Fashion/Men's Fashion/Clothing/Shirts
Fashion Lace-up Fashion Casual Soft Sole Comfortable Light Running Men's Shoes-Yellow,780.0,990.0,21%,No rating,Fashion,Fashion/Men's Fashion/Shoes/Fashion Sneakers
Fashion Elegant Studed Ladies Wristwatch With Hand Chain-Rose Gold,524.0,1059.0,51%,No rating,Fashion,Fashion/Watches & Sunglasses/Women's Watches/Bracelet Strap
Fashion Digital Sport Watch Men Sports Watch,382.0,710.0,46%,No rating,Fashion,Fashion/Watches & Sunglasses/Men's Watches/Digital
Geneva Three Eyes Steel Band Watch Large Plate Men's Sports Watch - Blue,439.0,788.0,44%,No rating,Generic,Fashion/Watches & Sunglasses/Men's Watches/Formal
Casual Fashion Round Dial Stainless Steel Quartz Analog Wrist Watch For Men,450.0,872.0,48%,No rating,Generic,Fashion/Watches & Sunglasses/Men's Watches/Bracelet Strap
Fashion Formal Mens Steel Wrist Watches Quartz Waterproof Bracelet Italy Gold Black,596.0,1184.0,50%,No rating,Fashion,Fashion/Watches & Sunglasses/Men's Watches/Formal
Fashion Fortified Feng Shui Black Obsidian Wealth Bracelet And Ring,449.0,699.0,36%,No rating,Fashion,Fashion/Watches & Sunglasses/Men's Watches/Bracelet Strap
Fashion Women's WatchWatch + BraceletLeather Strap Casual Ladies Watch + Bracelet-Butterfly Watch,590.0,800.0,26%,No rating,Fashion,Fashion/Watches & Sunglasses/Women's Watches/Bracelet Strap
Fashion Men's Waterproof Casual Sports Digital Watch-Black,550.0,1020.0,46%,No rating,Fashion,Fashion/Watches & Sunglasses/Men's Watches/Casual
RichRipple Pro3 Bluetooth Headsets Wireless Pods Pro Earpods Earphones,465.0,0.0,38%,80%,RichRipple,Phones & Tablets/Accessories/Bluetooth Headsets
RichRipple LED Display Bluetooth Headsets 9D Stereo Wireless Earphones Earpods,465.0,0.0,49%,74%,RichRipple,Phones & Tablets/Accessories/Bluetooth Headsets
RichRipple Pro3 Bluetooth Headsets Wireless Pods Pro Earpods Earphones,465.0,0.0,44%,78%,RichRipple,Phones & Tablets/Accessories/Bluetooth Headsets
128GB Metal Usb Flash Drive  3D Embossment,645.0,0.0,38%,70%,Generic,Computing/Computers & Accessories/Data Storage/USB Flash Drives
Fashion 4 In 1 Ladies Handbags Women Shoulder Bags Set PU Leather -Pink,764.0,0.0,49%,74%,Fashion,Fashion/Women's Fashion/Handbags & Wallets
Ace Elec ACEELEC F9 Wireless Fingerprint Touch Bluetooth Headset,395.0,0.0,50%,76%,Ace Elec,Phones & Tablets/Accessories/Bluetooth Headsets
Fashion 2024 Mens Casual High-Top Shoes Running Sneakers - Beige,16741860.0,0.0,39%,86%,Fashion,Fashion/Men's Fashion/Shoes/Fashion Sneakers
LED 2.4G Rechargeable Wireless Mouse,375.0,0.0,49%,90%,Generic,"Computing/Computer Accessories/Keyboards, Mice & Accessories/Mice"
RichRipple Pro3 Bluetooth Headsets Wireless Pods Pro Earpods Earphones,493.0,0.0,40%,No rating,RichRipple,Phones & Tablets/Accessories/Bluetooth Headsets
"Huawei Y7 Pro 4G LTE, 6.26"", 4GB +128GB, Dual SIM (Refurbished), 4000mAh, Black",8067.0,0.0,51%,72%,Renewed,Phones & Tablets/Mobile Phones/Smartphones/Android Phones
Stereo F9 Bluetooth Earphone  Power Headset,457.0,0.0,51%,76%,Generic,Phones & Tablets/Accessories/Bluetooth Headsets
Fashion Men Shoes Sneakers Skateboarding Shoes Sport Shoes Running Sneakers Casual Shoes,9891099.0,0.0,48%,78%,Fashion,Fashion/Men's Fashion/Shoes/Fashion Sneakers
RichRipple Desktop Mobile Phone Holder Portable Foldable Phone Stands,232.0,0.0,42%,86%,RichRipple,Phones & Tablets/Accessories/Mounts & Stands/Stands
Wireless Earphones Bluetooth 5.3 Finger Touch Headset HIFI Slide Cover.,606.0,0.0,51%,74%,Generic,Phones & Tablets/Accessories/Bluetooth Headsets
RichRipple 3-Cables Portable Power Bank 10000mAh Fast Charger,912.0,0.0,42%,78%,RichRipple,Phones & Tablets/Accessories/Batteries & Battery Packs/Portable Power Banks
Fast Charging 10000mAh Power Charging Bank Black,736.0,0.0,36%,74%,Generic,Phones & Tablets/Accessories/Batteries & Battery Packs/Portable Power Banks
Fashion New Young Fashion Trendy Board Shoes - Blue,1590.0,0.0,44%,78%,Fashion,Fashion/Men's Fashion/Shoes/Fashion Sneakers
RichRipple Pro6 Bluetooth Headsets Wireless Pods Pro Earpods Earphones,558.0,0.0,45%,74%,RichRipple,Phones & Tablets/Accessories/Bluetooth Headsets
Fashion Men's Trendy Sneakers - White,13411490.0,0.0,40%,80%,Fashion,Fashion/Men's Fashion/Shoes/Fashion Sneakers
Hikers 43'' Inch Frameless Android Smart FHD LED TV - Black,18820.0,0.0,29%,80%,Hikers,Electronics/Television & Video/Televisions/Smart TVs
RichRipple Neckband Wireless Bluetooth  Sports Type-C Earphone-Black,369.0,0.0,38%,84%,RichRipple,Phones & Tablets/Accessories/Bluetooth Headsets
Hikers 32'' Digital Frameless HD LED TV-Black,11095.0,0.0,30%,78%,Hikers,Electronics/Television & Video/Televisions/Digital TVs
128 GB Metal  Usb Flash Drive  Adapter Cable  2 In 1 Set,690.0,0.0,24%,74%,Generic,Computing/Computers & Accessories/Data Storage/USB Flash Drives
Fashion Men's Hot Selling Fashion Board Shoes - White Khaki,1390.0,0.0,45%,72%,Fashion,Fashion/Men's Fashion/Shoes/Fashion Sneakers
Fashion Men Leather Loafers & Slip-Ons,888.0,0.0,43%,66%,Fashion,Fashion/Men's Fashion/Shoes/Loafers & Slip-Ons
RichRipple Grey Bluetooth Headsets Wireless Pods Pro Earpods Earphones,437.0,0.0,42%,74%,RichRipple,Phones & Tablets/Accessories/Bluetooth Headsets
RichRipple 4in1 Pack Phone Camera Tripod Stand 1/4 Screw Head Remote Control Selfie,999.0,0.0,33%,86%,RichRipple,Phones & Tablets/Accessories/Selfie Sticks & Tripods/Tripods
Fashion Men's Fashion Short Sleeve T-Shirts,294.0,0.0,43%,62%,Fashion,Fashion/Men's Fashion/Clothing/T-Shirts & Tanks
RichRipple T500+ Pro Smart Watch Band Health Monitor Smart Watches,1117.0,0.0,42%,74%,RichRipple,Phones & Tablets/Accessories/Smart Watches
Fashion Men's Soft Sole Leather Shoes - Black,890.0,0.0,45%,70%,Fashion,Fashion/Men's Fashion/Shoes/Loafers & Slip-Ons
Shoe Rack Stackable Assembly Shoe Clothes Organizer-6 Layers,1079.0,0.0,46%,76%,Generic,Home & Office/Home & Kitchen/Storage & Organization/Clothing & Closet Storage/Shoe Organizers/Free Standing Shoe Racks
RichRipple 3GN Bluetooth Headsets Wireless Pods Pro Earpods Earphones,558.0,0.0,32%,76%,RichRipple,Phones & Tablets/Accessories/Bluetooth Headsets
Fashion Sneakers Women Shoes Women's Shoes Ladies,575.0,0.0,45%,72%,Fashion,Fashion/Women's Fashion/Shoes/Fashion Sneakers
V9 Wireless Bluetooth Earphone/Bluetooth Headphone,451.0,0.0,37%,80%,Generic,Phones & Tablets/Tablets/Tablet Accessories/Earphones & Headsets
Men's Chest Bags Waterproof Casual Waist Bags Short Trip Travel Carry Bag,447.0,0.0,37%,74%,Generic,"Computing/Computers & Accessories/Laptop Accessories/Bags, Cases & Sleeves"
Fashion Men Bags Chest Bags Crossbody Bags Shoulder Bags Sling Satchel,599.0,0.0,40%,68%,Fashion,Fashion/Men's Fashion/Bags
Fashion 2 Pcs Ladies Backpack Bag School Bags Black Casual Bag Women Purse Mini Bag,849.0,0.0,35%,74%,Fashion,Fashion/Women's Fashion/Handbags & Wallets
Fashion Men Shoes Loafers Casual Shoes Slip-On Shoes Business Shoes,699.0,0.0,50%,72%,Fashion,Fashion/Men's Fashion/Shoes/Loafers & Slip-Ons
